count, instance_count, first_index, base_vertex, base_instance
384,1,0,0,0,
384,1,384,0,0,
384,1,768,0,0,
384,1,1152,0,0,
384,1,1536,0,0,
384,1,1920,0,0,
384,1,2304,0,0,
384,1,2688,0,0,
384,1,3072,0,0,
384,1,3456,0,0,
384,1,3840,0,0,
384,1,4224,0,0,
384,1,4608,0,0,
384,1,4992,0,0,
384,1,5376,0,0,
384,1,5760,0,0,
384,1,6144,0,0,
384,1,6528,0,0,
384,1,6912,0,0,
384,1,7296,0,0,
384,1,7680,0,0,
384,1,8064,0,0,
384,1,8448,0,0,
384,1,8832,0,0,
384,1,9216,0,0,
384,1,9600,0,0,
384,1,9984,0,0,
384,1,10368,0,0,
384,1,10752,0,0,
384,1,11136,0,0,
384,1,11520,0,0,
384,1,11904,0,0,
384,1,12288,0,0,
384,1,12672,0,0,
384,1,13056,0,0,
384,1,13440,0,0,
384,1,13824,0,0,
384,1,14208,0,0,
384,1,14592,0,0,
384,1,14976,0,0,
384,1,15360,0,0,
384,1,15744,0,0,
384,1,16128,0,0,
384,1,16512,0,0,
384,1,16896,0,0,
384,1,17280,0,0,
384,1,17664,0,0,
384,1,18048,0,0,
384,1,18432,0,0,
384,1,18816,0,0,
384,1,19200,0,0,
384,1,19584,0,0,
384,1,19968,0,0,
384,1,20352,0,0,
384,1,20736,0,0,
384,1,21120,0,0,
384,1,21504,0,0,
384,1,21888,0,0,
384,1,22272,0,0,
384,1,22656,0,0,
384,1,23040,0,0,
384,1,23424,0,0,
384,1,23808,0,0,
384,1,24192,0,0,
384,1,24576,0,0,
384,1,24960,0,0,
384,1,25344,0,0,
384,1,25728,0,0,
384,1,26112,0,0,
384,1,26496,0,0,
384,1,26880,0,0,
384,1,27264,0,0,
384,1,27648,0,0,
384,1,28032,0,0,
384,1,28416,0,0,
384,1,28800,0,0,
384,1,29184,0,0,
384,1,29568,0,0,
384,1,29952,0,0,
384,1,30336,0,0,
384,1,30720,0,0,
384,1,31104,0,0,
384,1,31488,0,0,
384,1,31872,0,0,
384,1,32256,0,0,
384,1,32640,0,0,
384,1,33024,0,0,
384,1,33408,0,0,
384,1,33792,0,0,
384,1,34176,0,0,
384,1,34560,0,0,
384,1,34944,0,0,
384,1,35328,0,0,
384,1,35712,0,0,
384,1,36096,0,0,
384,1,36480,0,0,
384,1,36864,0,0,
384,1,37248,0,0,
384,1,37632,0,0,
384,1,38016,0,0,
384,1,38400,0,0,
384,1,38784,0,0,
384,1,39168,0,0,
384,1,39552,0,0,
384,1,39936,0,0,
384,1,40320,0,0,
384,1,40704,0,0,
384,1,41088,0,0,
384,1,41472,0,0,
384,1,41856,0,0,
384,1,42240,0,0,
384,1,42624,0,0,
384,1,43008,0,0,
384,1,43392,0,0,
384,1,43776,0,0,
384,1,44160,0,0,
384,1,44544,0,0,
384,1,44928,0,0,
384,1,45312,0,0,
384,1,45696,0,0,
384,1,46080,0,0,
384,1,46464,0,0,
384,1,46848,0,0,
384,1,47232,0,0,
384,1,47616,0,0,
384,1,48000,0,0,
384,1,48384,0,0,
384,1,48768,0,0,
384,1,49152,0,0,
384,1,49536,0,0,
384,1,49920,0,0,
384,1,50304,0,0,
384,1,50688,0,0,
384,1,51072,0,0,
384,1,51456,0,0,
384,1,51840,0,0,
384,1,52224,0,0,
384,1,52608,0,0,
384,1,52992,0,0,
384,1,53376,0,0,
384,1,53760,0,0,
384,1,54144,0,0,
384,1,54528,0,0,
384,1,54912,0,0,
384,1,55296,0,0,
384,1,55680,0,0,
384,1,56064,0,0,
384,1,56448,0,0,
384,1,56832,0,0,
384,1,57216,0,0,
384,1,57600,0,0,
384,1,57984,0,0,
384,1,58368,0,0,
384,1,58752,0,0,
384,1,59136,0,0,
384,1,59520,0,0,
384,1,59904,0,0,
384,1,60288,0,0,
384,1,60672,0,0,
384,1,61056,0,0,
384,1,61440,0,0,
384,1,61824,0,0,
384,1,62208,0,0,
384,1,62592,0,0,
384,1,62976,0,0,
384,1,63360,0,0,
384,1,63744,0,0,
384,1,64128,0,0,
384,1,64512,0,0,
384,1,64896,0,0,
384,1,65280,0,0,
384,1,65664,0,0,
384,1,66048,0,0,
384,1,66432,0,0,
384,1,66816,0,0,
384,1,67200,0,0,
384,1,67584,0,0,
384,1,67968,0,0,
384,1,68352,0,0,
384,1,68736,0,0,
384,1,69120,0,0,
384,1,69504,0,0,
384,1,69888,0,0,
384,1,70272,0,0,
384,1,70656,46893,1,
384,1,71040,46893,1,
384,1,71424,46893,1,
384,1,71808,46893,1,
384,1,72192,46893,1,
384,1,72576,46893,1,
384,1,72960,46893,1,
384,1,73344,46893,1,
384,1,73728,46893,1,
384,1,74112,46893,1,
384,1,74496,46893,1,
384,1,74880,46893,1,
384,1,75264,46893,1,
384,1,75648,46893,1,
384,1,76032,46893,1,
384,1,76416,46893,1,
384,1,76800,46893,1,
384,1,77184,46893,1,
384,1,77568,46893,1,
384,1,77952,46893,1,
384,1,78336,46893,1,
384,1,78720,46893,1,
384,1,79104,46893,1,
384,1,79488,46893,1,
384,1,79872,46893,1,
384,1,80256,46893,1,
384,1,80640,46893,1,
384,1,81024,46893,1,
384,1,81408,46893,1,
384,1,81792,46893,1,
384,1,82176,46893,1,
384,1,82560,46893,1,
384,1,82944,46893,1,
384,1,83328,46893,1,
384,1,83712,46893,1,
384,1,84096,46893,1,
384,1,84480,46893,1,
384,1,84864,46893,1,
384,1,85248,46893,1,
384,1,85632,46893,1,
384,1,86016,46893,1,
384,1,86400,46893,1,
384,1,86784,46893,1,
384,1,87168,46893,1,
384,1,87552,46893,1,
384,1,87936,46893,1,
384,1,88320,46893,1,
384,1,88704,46893,1,
384,1,89088,46893,1,
384,1,89472,46893,1,
384,1,89856,46893,1,
384,1,90240,46893,1,
384,1,90624,46893,1,
384,1,91008,46893,1,
384,1,91392,46893,1,
384,1,91776,46893,1,
384,1,92160,46893,1,
384,1,92544,46893,1,
384,1,92928,46893,1,
384,1,93312,46893,1,
384,1,93696,46893,1,
384,1,94080,46893,1,
384,1,94464,46893,1,
384,1,94848,46893,1,
384,1,95232,46893,1,
384,1,95616,46893,1,
384,1,96000,46893,1,
384,1,96384,46893,1,
384,1,96768,46893,1,
384,1,97152,46893,1,
384,1,97536,46893,1,
384,1,97920,46893,1,
384,1,98304,46893,1,
384,1,98688,46893,1,
384,1,99072,46893,1,
384,1,99456,46893,1,
384,1,99840,46893,1,
384,1,100224,46893,1,
384,1,100608,46893,1,
384,1,100992,46893,1,
384,1,101376,46893,1,
384,1,101760,46893,1,
384,1,102144,46893,1,
384,1,102528,46893,1,
384,1,102912,46893,1,
384,1,103296,46893,1,
384,1,103680,46893,1,
384,1,104064,46893,1,
384,1,104448,46893,1,
384,1,104832,46893,1,
384,1,105216,46893,1,
384,1,105600,46893,1,
384,1,105984,46893,1,
384,1,106368,46893,1,
384,1,106752,46893,1,
384,1,107136,46893,1,
384,1,107520,46893,1,
384,1,107904,46893,1,
384,1,108288,46893,1,
384,1,108672,46893,1,
384,1,109056,46893,1,
384,1,109440,46893,1,
384,1,109824,46893,1,
384,1,110208,46893,1,
384,1,110592,46893,1,
384,1,110976,46893,1,
384,1,111360,46893,1,
384,1,111744,46893,1,
384,1,112128,46893,1,
384,1,112512,46893,1,
384,1,112896,46893,1,
384,1,113280,46893,1,
384,1,113664,46893,1,
384,1,114048,46893,1,
384,1,114432,46893,1,
384,1,114816,46893,1,
384,1,115200,46893,1,
384,1,115584,46893,1,
384,1,115968,46893,1,
384,1,116352,46893,1,
384,1,116736,46893,1,
384,1,117120,46893,1,
384,1,117504,46893,1,
384,1,117888,46893,1,
384,1,118272,46893,1,
384,1,118656,46893,1,
384,1,119040,46893,1,
384,1,119424,46893,1,
384,1,119808,46893,1,
384,1,120192,46893,1,
384,1,120576,46893,1,
384,1,120960,46893,1,
384,1,121344,46893,1,
384,1,121728,46893,1,
384,1,122112,46893,1,
384,1,122496,46893,1,
384,1,122880,46893,1,
384,1,123264,46893,1,
384,1,123648,46893,1,
384,1,124032,46893,1,
384,1,124416,46893,1,
384,1,124800,46893,1,
384,1,125184,46893,1,
384,1,125568,46893,1,
384,1,125952,46893,1,
384,1,126336,46893,1,
384,1,126720,46893,1,
384,1,127104,46893,1,
384,1,127488,46893,1,
384,1,127872,46893,1,
384,1,128256,46893,1,
384,1,128640,46893,1,
384,1,129024,46893,1,
384,1,129408,46893,1,
384,1,129792,46893,1,
384,1,130176,46893,1,
384,1,130560,46893,1,
384,1,130944,46893,1,
384,1,131328,46893,1,
384,1,131712,46893,1,
384,1,132096,46893,1,
384,1,132480,46893,1,
384,1,132864,46893,1,
384,1,133248,46893,1,
384,1,133632,46893,1,
384,1,134016,46893,1,
384,1,134400,46893,1,
384,1,134784,46893,1,
384,1,135168,46893,1,
384,1,135552,46893,1,
384,1,135936,46893,1,
384,1,136320,46893,1,
384,1,136704,46893,1,
384,1,137088,46893,1,
384,1,137472,46893,1,
384,1,137856,46893,1,
384,1,138240,46893,1,
384,1,138624,46893,1,
384,1,139008,46893,1,
384,1,139392,46893,1,
384,1,139776,46893,1,
384,1,140160,46893,1,
384,1,140544,46893,1,
384,1,140928,46893,1,
384,1,141312,46893,1,
384,1,141696,46893,1,
384,1,142080,46893,1,
384,1,142464,46893,1,
384,1,142848,46893,1,
384,1,143232,46893,1,
384,1,143616,46893,1,
384,1,144000,46893,1,
384,1,144384,46893,1,
384,1,144768,46893,1,
384,1,145152,46893,1,
384,1,145536,46893,1,
384,1,145920,46893,1,
384,1,146304,46893,1,
384,1,146688,46893,1,
384,1,147072,46893,1,
384,1,147456,46893,1,
384,1,147840,46893,1,
384,1,148224,46893,1,
384,1,148608,46893,1,
384,1,148992,46893,1,
384,1,149376,46893,1,
384,1,149760,46893,1,
384,1,150144,46893,1,
384,1,150528,46893,1,
384,1,150912,46893,1,
384,1,151296,46893,1,
384,1,151680,46893,1,
384,1,152064,46893,1,
384,1,152448,46893,1,
384,1,152832,46893,1,
384,1,153216,46893,1,
384,1,153600,46893,1,
384,1,153984,46893,1,
384,1,154368,46893,1,
384,1,154752,46893,1,
384,1,155136,46893,1,
384,1,155520,46893,1,
